"Date"," General government debt, % of GDP: net JPY","General government debt, % of GDP: net GBP","General government balance, % of GDP: overall JPY"," General government balance, % of GDP: overall GBP","Main producer price index: %oya, 3mma GBP","Main producer price index: %oya, 3mma Japan"," Merchandise trade balance ratio change (sa): 3M/3M Japan"," Merchandise trade balance ratio change (sa): 3M/3M GBP"," Generic government bond returns: 5-year maturity Japan","Generic government bond returns: 5-year maturity GBP"
13-Jun-94,20.8,31.1,-2.24,-6.85,N/A,-1.98968,N/A,N/A,N/A,N/A
14-Jun-94,20.8,31.1,-2.24,-6.85,N/A,-1.98968,N/A,N/A,N/A,N/A
15-Jun-94,20.8,31.1,-2.24,-6.85,N/A,-1.98968,N/A,N/A,N/A,N/A
16-Jun-94,20.8,31.1,-2.24,-6.85,N/A,-1.98968,N/A,N/A,N/A,N/A
17-Jun-94,20.8,31.1,-2.24,-6.85,N/A,-1.98968,N/A,N/A,N/A,N/A
20-Jun-94,20.8,31.1,-2.24,-6.85,N/A,-1.98968,N/A,N/A,N/A,N/A
21-Jun-94,20.8,31.1,-2.24,-6.85,N/A,-1.98968,N/A,N/A,N/A,N/A
22-Jun-94,20.8,31.1,-2.24,-6.85,N/A,-1.98968,N/A,N/A,N/A,N/A
23-Jun-94,20.8,31.1,-2.24,-6.85,N/A,-1.98968,N/A,N/A,N/A,N/A
24-Jun-94,20.8,31.1,-2.24,-6.85,N/A,-1.98968,N/A,N/A,N/A,N/A
27-Jun-94,20.8,31.1,-2.24,-6.85,N/A,-1.98968,N/A,N/A,N/A,N/A
28-Jun-94,20.8,31.1,-2.24,-6.85,N/A,-1.98968,N/A,N/A,N/A,N/A
29-Jun-94,20.8,31.1,-2.24,-6.85,N/A,-1.98968,N/A,N/A,N/A,N/A
30-Jun-94,20.8,31.1,-2.24,-6.85,N/A,-1.98968,N/A,N/A,N/A,N/A
01-Jul-94,20.8,31.1,-2.24,-6.85,N/A,-1.98968,N/A,N/A,N/A,N/A
05-Jul-94,20.8,31.1,-2.24,-6.85,N/A,-1.98968,N/A,N/A,N/A,N/A
06-Jul-94,20.8,31.1,-2.24,-6.85,N/A,-1.98968,N/A,N/A,N/A,N/A
07-Jul-94,20.8,31.1,-2.24,-6.85,N/A,-1.98968,N/A,N/A,N/A,N/A
08-Jul-94,20.8,31.1,-2.24,-6.85,N/A,-1.98968,N/A,N/A,N/A,N/A
11-Jul-94,20.8,31.1,-2.24,-6.85,N/A,-1.89631,N/A,N/A,N/A,N/A
12-Jul-94,20.8,31.1,-2.24,-6.85,N/A,-1.89631,N/A,N/A,N/A,N/A
13-Jul-94,20.8,31.1,-2.24,-6.85,N/A,-1.89631,N/A,N/A,N/A,N/A
14-Jul-94,20.8,31.1,-2.24,-6.85,N/A,-1.89631,N/A,N/A,N/A,N/A
15-Jul-94,20.8,31.1,-2.24,-6.85,N/A,-1.89631,N/A,N/A,N/A,N/A
18-Jul-94,20.8,31.1,-2.24,-6.85,N/A,-1.89631,N/A,N/A,N/A,N/A
19-Jul-94,20.8,31.1,-2.24,-6.85,N/A,-1.89631,N/A,N/A,N/A,N/A
20-Jul-94,20.8,31.1,-2.24,-6.85,N/A,-1.89631,N/A,N/A,N/A,N/A
21-Jul-94,20.8,31.1,-2.24,-6.85,N/A,-1.89631,N/A,N/A,N/A,N/A
22-Jul-94,20.8,31.1,-2.24,-6.85,N/A,-1.89631,N/A,N/A,N/A,N/A
25-Jul-94,20.8,31.1,-2.24,-6.85,N/A,-1.89631,N/A,N/A,N/A,N/A
26-Jul-94,20.8,31.1,-2.24,-6.85,N/A,-1.89631,N/A,N/A,N/A,N/A
27-Jul-94,20.8,31.1,-2.24,-6.85,N/A,-1.89631,N/A,N/A,N/A,N/A
28-Jul-94,20.8,31.1,-2.24,-6.85,N/A,-1.89631,N/A,N/A,N/A,N/A
29-Jul-94,20.8,31.1,-2.24,-6.85,N/A,-1.89631,N/A,N/A,N/A,N/A
01-Aug-94,20.8,31.1,-2.24,-6.85,N/A,-1.89631,N/A,N/A,N/A,N/A
02-Aug-94,20.8,31.1,-2.24,-6.85,N/A,-1.89631,N/A,N/A,N/A,N/A
03-Aug-94,20.8,31.1,-2.24,-6.85,N/A,-1.89631,N/A,N/A,N/A,N/A
04-Aug-94,20.8,31.1,-2.24,-6.85,N/A,-1.89631,N/A,N/A,N/A,N/A
05-Aug-94,20.8,31.1,-2.24,-6.85,N/A,-1.89631,N/A,N/A,N/A,N/A
08-Aug-94,20.8,31.1,-2.24,-6.85,N/A,-1.89631,N/A,N/A,N/A,N/A
09-Aug-94,20.8,31.1,-2.24,-6.85,N/A,-1.89631,N/A,N/A,N/A,N/A
10-Aug-94,20.8,31.1,-2.24,-6.85,N/A,-1.89631,N/A,N/A,N/A,N/A
11-Aug-94,20.8,31.1,-2.24,-6.85,N/A,-1.8023,N/A,N/A,N/A,N/A
12-Aug-94,20.8,31.1,-2.24,-6.85,N/A,-1.8023,N/A,N/A,N/A,N/A
15-Aug-94,20.8,31.1,-2.24,-6.85,N/A,-1.8023,N/A,N/A,N/A,N/A
16-Aug-94,20.8,31.1,-2.24,-6.85,N/A,-1.8023,N/A,N/A,N/A,N/A
17-Aug-94,20.8,31.1,-2.24,-6.85,N/A,-1.8023,N/A,N/A,N/A,N/A
18-Aug-94,20.8,31.1,-2.24,-6.85,N/A,-1.8023,N/A,N/A,N/A,N/A
19-Aug-94,20.8,31.1,-2.24,-6.85,N/A,-1.8023,N/A,N/A,N/A,N/A
22-Aug-94,20.8,31.1,-2.24,-6.85,N/A,-1.8023,N/A,N/A,N/A,N/A
23-Aug-94,20.8,31.1,-2.24,-6.85,N/A,-1.8023,N/A,N/A,N/A,N/A
24-Aug-94,20.8,31.1,-2.24,-6.85,N/A,-1.8023,N/A,N/A,N/A,N/A
25-Aug-94,20.8,31.1,-2.24,-6.85,N/A,-1.8023,N/A,N/A,N/A,N/A
