Date,"General government debt, % of GDP: net JPY","General government debt, % of GDP: net GBP","General government balance, % of GDP: overall JPY","General government balance, % of GDP: overall GBP","Main producer price index: %oya, 3mma GBP","Main producer price index: %oya, 3mma Japan",Merchandise trade balance ratio change (sa): 3M/3M Japan,Merchandise trade balance ratio change (sa): 3M/3M GBP,Generic government bond returns: 5-year maturity Japan,Generic government bond returns: 5-year maturity GBP
1994-06-13,20.8,31.1,-2.24,-6.85,0.49289,-1.98968,-0.05847,-0.46426,0.0013,0.011925
1994-06-14,20.8,31.1,-2.24,-6.85,0.49289,-1.98968,-0.05847,-0.46426,0.0013,0.011925
1994-06-15,20.8,31.1,-2.24,-6.85,0.49289,-1.98968,-0.05847,-0.46426,0.0013,0.011925
1994-06-16,20.8,31.1,-2.24,-6.85,0.49289,-1.98968,-0.05847,-0.46426,0.0013,0.011925
1994-06-17,20.8,31.1,-2.24,-6.85,0.49289,-1.98968,-0.05847,-0.46426,0.0013,0.011925
1994-06-20,20.8,31.1,-2.24,-6.85,0.49289,-1.98968,-0.05847,-0.46426,0.0013,0.011925
1994-06-21,20.8,31.1,-2.24,-6.85,0.49289,-1.98968,-0.05847,-0.46426,0.0013,0.011925
1994-06-22,20.8,31.1,-2.24,-6.85,0.49289,-1.98968,-0.05847,-0.46426,0.0013,0.011925
1994-06-23,20.8,31.1,-2.24,-6.85,0.49289,-1.98968,-0.05847,-0.46426,0.0013,0.011925
1994-06-24,20.8,31.1,-2.24,-6.85,0.49289,-1.98968,-0.05847,-0.46426,0.0013,0.011925
1994-06-27,20.8,31.1,-2.24,-6.85,0.49289,-1.98968,-0.05847,-0.46426,0.0013,0.011925
1994-06-28,20.8,31.1,-2.24,-6.85,0.49289,-1.98968,-0.05847,-0.46426,0.0013,0.011925
1994-06-29,20.8,31.1,-2.24,-6.85,0.49289,-1.98968,-0.05847,-0.46426,0.0013,0.011925
1994-06-30,20.8,31.1,-2.24,-6.85,0.49289,-1.98968,-0.05847,-0.46426,0.0013,0.011925
1994-07-01,20.8,31.1,-2.24,-6.85,0.49289,-1.98968,-0.05847,-0.46426,0.0013,0.011925
1994-07-05,20.8,31.1,-2.24,-6.85,0.49289,-1.98968,-0.05847,-0.46426,0.0013,0.011925
1994-07-06,20.8,31.1,-2.24,-6.85,0.49289,-1.98968,-0.05847,-0.46426,0.0013,0.011925
1994-07-07,20.8,31.1,-2.24,-6.85,0.49289,-1.98968,-0.05847,-0.46426,0.0013,0.011925
1994-07-08,20.8,31.1,-2.24,-6.85,0.49289,-1.98968,-0.05847,-0.46426,0.0013,0.011925
1994-07-11,20.8,31.1,-2.24,-6.85,0.49289,-1.89631,-0.05847,-0.46426,0.0013,0.011925
1994-07-12,20.8,31.1,-2.24,-6.85,0.49289,-1.89631,-0.05847,-0.46426,0.0013,0.011925
1994-07-13,20.8,31.1,-2.24,-6.85,0.49289,-1.89631,-0.05847,-0.46426,0.0013,0.011925
1994-07-14,20.8,31.1,-2.24,-6.85,0.49289,-1.89631,-0.05847,-0.46426,0.0013,0.011925
1994-07-15,20.8,31.1,-2.24,-6.85,0.49289,-1.89631,-0.05847,-0.46426,0.0013,0.011925
1994-07-18,20.8,31.1,-2.24,-6.85,0.49289,-1.89631,-0.05847,-0.46426,0.0013,0.011925
1994-07-19,20.8,31.1,-2.24,-6.85,0.49289,-1.89631,-0.05847,-0.46426,0.0013,0.011925
1994-07-20,20.8,31.1,-2.24,-6.85,0.49289,-1.89631,-0.05847,-0.46426,0.0013,0.011925
1994-07-21,20.8,31.1,-2.24,-6.85,0.49289,-1.89631,-0.05847,-0.46426,0.0013,0.011925
